# tass	cid	test
7.0	0.55	0.025
7.0	0.60	0.025
7.0	0.65	0.025
7.0	0.70	0.025
7.0	0.75	0.025
7.0	0.80	0.025
7.0	0.85	0.025
7.0	0.90	0.025
7.0	0.95	0.025
7.0	1.00	0.025
7.0	0.0	0.030
7.0	0.05	0.030
7.0	0.10	0.030
7.0	0.15	0.030
7.0	0.20	0.030
7.0	0.25	0.030
7.0	0.30	0.030
7.0	0.35	0.030
7.0	0.40	0.030
7.0	0.45	0.030
7.0	0.50	0.030
7.0	0.55	0.030
7.0	0.60	0.030
7.0	0.65	0.030
7.0	0.70	0.030
7.0	0.75	0.030
7.0	0.80	0.030
7.0	0.85	0.030
7.0	0.90	0.030
7.0	0.95	0.030
7.0	1.00	0.030
7.0	0.0	0.035
7.0	0.05	0.035
7.0	0.10	0.035
7.0	0.15	0.035
7.0	0.20	0.035
7.0	0.25	0.035
7.0	0.30	0.035
7.0	0.35	0.035
7.0	0.40	0.035
7.0	0.45	0.035
7.0	0.50	0.035
7.0	0.55	0.035
7.0	0.60	0.035
7.0	0.65	0.035
7.0	0.70	0.035
7.0	0.75	0.035
7.0	0.80	0.035
7.0	0.85	0.035
7.0	0.90	0.035
7.0	0.95	0.035
7.0	1.00	0.035
7.0	0.0	0.040
7.0	0.05	0.040
7.0	0.10	0.040
7.0	0.15	0.040
7.0	0.20	0.040
7.0	0.25	0.040
7.0	0.30	0.040
7.0	0.35	0.040
7.0	0.40	0.040
7.0	0.45	0.040
7.0	0.50	0.040
7.0	0.55	0.040
7.0	0.60	0.040
7.0	0.65	0.040
7.0	0.70	0.040
7.0	0.75	0.040
7.0	0.80	0.040
7.0	0.85	0.040
7.0	0.90	0.040
7.0	0.95	0.040
7.0	1.00	0.040
7.0	0.0	0.045
7.0	0.05	0.045
7.0	0.10	0.045
7.0	0.15	0.045
7.0	0.20	0.045
7.0	0.25	0.045
7.0	0.30	0.045
7.0	0.35	0.045
7.0	0.40	0.045
7.0	0.45	0.045
7.0	0.50	0.045
7.0	0.55	0.045
7.0	0.60	0.045
7.0	0.65	0.045
7.0	0.70	0.045
7.0	0.75	0.045
7.0	0.80	0.045
7.0	0.85	0.045
7.0	0.90	0.045
7.0	0.95	0.045
7.0	1.00	0.045
7.0	0.0	0.050
7.0	0.05	0.050
7.0	0.10	0.050
7.0	0.15	0.050
7.0	0.20	0.050
7.0	0.25	0.050
7.0	0.30	0.050
7.0	0.35	0.050
7.0	0.40	0.050
7.0	0.45	0.050
7.0	0.50	0.050
7.0	0.55	0.050
7.0	0.60	0.050
7.0	0.65	0.050
7.0	0.70	0.050
7.0	0.75	0.050
7.0	0.80	0.050
7.0	0.85	0.050
7.0	0.90	0.050
7.0	0.95	0.050
7.0	1.00	0.050
7.0	0.0	0.055
7.0	0.05	0.055
7.0	0.10	0.055
7.0	0.15	0.055
7.0	0.20	0.055
7.0	0.25	0.055
7.0	0.30	0.055
7.0	0.35	0.055
7.0	0.40	0.055
7.0	0.45	0.055
7.0	0.50	0.055
7.0	0.55	0.055
7.0	0.60	0.055
7.0	0.65	0.055
7.0	0.70	0.055
7.0	0.75	0.055
7.0	0.80	0.055
7.0	0.85	0.055
7.0	0.90	0.055
7.0	0.95	0.055
7.0	1.00	0.055
7.0	0.0	0.060
7.0	0.05	0.060
7.0	0.10	0.060
7.0	0.15	0.060
7.0	0.20	0.060
7.0	0.25	0.060
7.0	0.30	0.060
7.0	0.35	0.060
7.0	0.40	0.060
7.0	0.45	0.060
7.0	0.50	0.060
7.0	0.55	0.060
7.0	0.60	0.060
7.0	0.65	0.060
7.0	0.70	0.060
7.0	0.75	0.060
7.0	0.80	0.060
7.0	0.85	0.060
7.0	0.90	0.060
7.0	0.95	0.060
7.0	1.00	0.060
7.0	0.0	0.065
7.0	0.05	0.065
7.0	0.10	0.065
7.0	0.15	0.065
7.0	0.20	0.065
7.0	0.25	0.065
7.0	0.30	0.065
7.0	0.35	0.065
7.0	0.40	0.065
7.0	0.45	0.065
7.0	0.50	0.065
7.0	0.55	0.065
7.0	0.60	0.065
7.0	0.65	0.065
7.0	0.70	0.065
7.0	0.75	0.065
7.0	0.80	0.065
7.0	0.85	0.065
7.0	0.90	0.065
7.0	0.95	0.065
7.0	1.00	0.065
7.0	0.0	0.070
7.0	0.05	0.070
7.0	0.10	0.070
7.0	0.15	0.070
7.0	0.20	0.070
7.0	0.25	0.070
7.0	0.30	0.070
7.0	0.35	0.070
7.0	0.40	0.070
7.0	0.45	0.070
7.0	0.50	0.070
7.0	0.55	0.070
7.0	0.60	0.070
7.0	0.65	0.070
7.0	0.70	0.070
7.0	0.75	0.070
7.0	0.80	0.070
7.0	0.85	0.070
7.0	0.90	0.070
7.0	0.95	0.070
7.0	1.00	0.070
7.0	0.0	0.075
7.0	0.05	0.075
7.0	0.10	0.075
7.0	0.15	0.075
7.0	0.20	0.075
7.0	0.25	0.075
7.0	0.30	0.075
7.0	0.35	0.075
7.0	0.40	0.075
7.0	0.45	0.075
7.0	0.50	0.075
7.0	0.55	0.075
7.0	0.60	0.075
7.0	0.65	0.075
7.0	0.70	0.075
7.0	0.75	0.075
7.0	0.80	0.075
7.0	0.85	0.075
7.0	0.90	0.075
7.0	0.95	0.075
7.0	1.00	0.075
7.0	0.0	0.080
7.0	0.05	0.080
7.0	0.10	0.080
7.0	0.15	0.080
7.0	0.20	0.080
7.0	0.25	0.080
7.0	0.30	0.080
7.0	0.35	0.080
7.0	0.40	0.080
7.0	0.45	0.080
7.0	0.50	0.080
7.0	0.55	0.080
7.0	0.60	0.080
7.0	0.65	0.080
7.0	0.70	0.080
7.0	0.75	0.080
7.0	0.80	0.080
7.0	0.85	0.080
7.0	0.90	0.080
7.0	0.95	0.080
7.0	1.00	0.080
7.0	0.0	0.085
7.0	0.05	0.085
7.0	0.10	0.085
7.0	0.15	0.085
7.0	0.20	0.085
7.0	0.25	0.085
7.0	0.30	0.085
7.0	0.35	0.085
7.0	0.40	0.085
7.0	0.45	0.085
7.0	0.50	0.085
7.0	0.55	0.085
7.0	0.60	0.085
7.0	0.65	0.085
7.0	0.70	0.085
7.0	0.75	0.085
7.0	0.80	0.085
7.0	0.85	0.085
7.0	0.90	0.085
7.0	0.95	0.085
7.0	1.00	0.085
7.0	0.0	0.090
7.0	0.05	0.090
7.0	0.10	0.090
7.0	0.15	0.090
7.0	0.20	0.090
7.0	0.25	0.090
7.0	0.30	0.090
7.0	0.35	0.090
7.0	0.40	0.090
7.0	0.45	0.090
7.0	0.50	0.090
7.0	0.55	0.090
7.0	0.60	0.090
7.0	0.65	0.090
7.0	0.70	0.090
7.0	0.75	0.090
7.0	0.80	0.090
7.0	0.85	0.090
7.0	0.90	0.090
7.0	0.95	0.090
7.0	1.00	0.090
7.0	0.0	0.095
7.0	0.05	0.095
7.0	0.10	0.095
7.0	0.15	0.095
7.0	0.20	0.095
7.0	0.25	0.095
7.0	0.30	0.095
7.0	0.35	0.095
7.0	0.40	0.095
7.0	0.45	0.095
7.0	0.50	0.095
7.0	0.55	0.095
7.0	0.60	0.095
7.0	0.65	0.095
7.0	0.70	0.095
7.0	0.75	0.095
7.0	0.80	0.095
7.0	0.85	0.095
7.0	0.90	0.095
7.0	0.95	0.095
7.0	1.00	0.095
7.0	0.0	0.100
7.0	0.05	0.100
7.0	0.10	0.100
7.0	0.15	0.100
7.0	0.20	0.100
7.0	0.25	0.100
7.0	0.30	0.100
7.0	0.35	0.100
7.0	0.40	0.100
7.0	0.45	0.100
7.0	0.50	0.100
7.0	0.55	0.100
7.0	0.60	0.100
7.0	0.65	0.100
7.0	0.70	0.100
7.0	0.75	0.100
7.0	0.80	0.100
7.0	0.85	0.100
7.0	0.90	0.100
7.0	0.95	0.100
7.0	1.00	0.100
